sentence,emotion
öğretmenler birden soru sorduğunda,fear
sevdiğim bir futbolcunun tuttuğum takıma transferi beni sevindirmişti.,happiness
"""Drogba"" ""Galatasaray'a"" transfer olduğunda.",happiness
Arkadaşım yaptığım yemeği beğenmeyince.,sadness
hasta olduğumu öğrendiğimde çok üzülmüştüm,sadness
Arkadaşım beni şikayet ettiği  zaman çok kızmıştım.,anger
Herhangi bir konuda iftiraya uğramam beni öfkelendirir.,anger
Arkadaşlarımla birlikte kitap fuarına gittiğimiz gün.,happiness
çalışıp düşük alınca kafamı duvarlara vurasım geldi,anger
Hava Komando Grubu ile tehlikeli görev için gönüllü oldu .,neutral
Köpek ölüsü gördüğüm zaman.,disgust
Yılandan korkarım.,fear
Turnikelerin kollarından tiksiniyorum.,disgust
Sessiz ve sakin bir ortamda sevdiğim arkadaşlarım ile birlikte olmak.,happiness
Herhangi birisine yardım ettiğim an.,happiness
Bir sabah dua okurken birden duayı unuttum ve sanki aklım durdu. bir daha düşünemeyeceğim ya da hiçbir şeyi hatırlayamayacağım diye çok korktum,fear
Bir yakınımı kaybettiğim zaman.,sadness
Sınavda aptalın teki beni geçince.,anger
Haklı olduğum halde haksız duruma düşmek.,anger
çok sevdiğim köpeğimin yavruları olunca çok mutlu oldum.,happiness
Çocukken arkadaşlarım benimle uğraşırlardı ve ben hep güler geçerdim. Şimdi ise her şeye sinirlenir oldum.,anger
Gerilim tarzı seyirciyi bazı ruh hallerine girmeye teşvik eder .,neutral
GS şampiyonlukları.,happiness
Bu stilde dönüşler çift el olmak zorundadır .,neutral
Bozuk bir yemeğin kokusundan tiksinirim.,disgust
Verdiğim eşyaların geri verilmemesi.,anger
Çocukken bisikletimi sokakta bırakmıştım o da çalınmıştı çok üzüldüm,sadness
devlet hastanesinde dolgu yaptırınca korkmuştum.,fear
Global Game Jam tescilli bir ticari markadır .,neutral
Gereksiz kavgalar.,sadness
gece vakti evde yalnız kalınca çok korkuyorum. Ayrıca karanlıktan korkarım.,fear
Birisinin kusması tiksindirir.,disgust
toplu taşıma araçlarındaki ter kokusundan tiksinirim,disgust
Yaşadığım yerden bıktım.,anger
"""Fenerbahçe'nin"" ""Beşiktaş'ı"" yenmesi.",happiness
Aileme laf eden birisini dövmüştüm.,anger
Bu olay onun sonraki yaşamını derinden etkiledi .,neutral
Erkeklerin peşinde koşan kızlardan.,disgust
Sınavdan düşük not aldığım zaman.,sadness
Karşımdaki insan tarafından sevildiğimi fark ettiğim zaman.,happiness
Yemekhane sırası az olunca mutlu olurum.,happiness
Kardeşim ilk kez konuştuğunda çok mutlu olmuştum.,happiness
Arkadaşlarım beni tanıdıkları halde istemediğim davranışlarda bulundukları zaman.,sadness
aile bireylerinden birinin ölümünü istemeden aklımda canlandırmak beni üzer,sadness
Yüksek bir yerden Aşağıya bakmak beni çok korkutur.,fear
Babam bana telefon aldığı zaman.,happiness
hayvanlardan ve kusmadan midem bulanır.,disgust
Çok çalıştığım sınavdan istediğim notu alamayınca üzülürüm.,sadness
Yakınlarımdan birisini kaybetmek.,sadness
Örümcek görünce.,fear
Sınavlardan düşük not almaktan korkarım.,fear
ablam üniversitesi bitip eve döndüğünde çok mutlu oldum,happiness
Dedemin ölmesi.,sadness
evde yalnız olduğumda ve sessiz olduğumda gelen sesler,fear
"beşiktaş'ın ""Liverpool'a"" sekiz sıfır yenilmesi beni sinir etmişti",anger
Ayakkabıma birisinin basması.,anger
Bu nedenle Yumuşak Ğ harfinin aksine Arapçada kelime başında da yer alabilir .,neutral
Bir yakınımı kaybettiğimde.,sadness
Arkadaşlarımla beraber dışarıya çıktığım zaman mutlu olurum.,happiness
"Büyük sayılar yasasının ""büyük sayıda"" gözlem yapıldığı zaman etkili olacağı unutulmamalıdır .",neutral
Azerbaycan ve Türkiye arasında askeri anlamda da Azerbaycan lehine geçmişten bugüne olay gerçekleşmiştir .,neutral
Terazinin üzerine çıkmak beni korkutuyor.,fear
"Çevreye en yakın bilinen yerleşim birimi Alaca ilçesi olduğu için ""Alaca"" adıyla anılır .",neutral
Gece garip sesler duyduğumda çok korktum..,fear
En iyi Drama dalında Altın Küre ödülü kazanmıştır .,neutral
Son ders zilinin çalması.,happiness
Eşyalarımı koyduğum yerde bulamayınca öfkelenirim.,anger
Sevdiğim insanın beni sevdiğini öğrendiğim an.,happiness
Sokaklarda insanların ay çiçeği (çekirdek) yemesi beni çok tiksindiriyor,disgust
Yemekhane sırası beklerken öfkeleniyorum.,anger
Otobüste çok fazla ter kokusu olunca tiksinirim.,disgust
Köpeklerin beni kovalaması.,fear
Lise sonuçlarında seviyemi görünce çok mutlu olmuştum.,happiness
Bu sebepten dolayı tarih boyunca ticaret yollarının dışında kalmış ve gelişme sağlanamamıştır .,neutral
Ortalama olarak iyi geçen bir sınavdan düşük almak.,sadness
Türkiye’de bestelenen ilk klasik gitar eserlerinin sahibi olduğu kabul edilir .,neutral
Tırnak batması ameliyatı olduğumda.,fear
Oyuncuya daha önceden söylemiş veya göstermiş olduğu şeylerden sorguya çeker ve gerçeği bulmasını ister .,neutral
Böylece ilk kez bir Doğu Bloku takımı şampiyonluğa ulaştı .,neutral
"""BİM'e"" giderken bir adamın yere tükürmesinden tiksindim.",disgust
Müzik çalarım bozulduğu zaman.,sadness
Yolda araçla hızla giderken yol kenarında gördüğüm yaralı kediye üzüldüm.,sadness
Ağabeyimin doğum günü için video hazırlamama herkesin yardım etmesi.,happiness
Örümceklerden korkarım.,fear
Kusmuk görmek iğrenç.,disgust
Tuzlu su yutmak.,disgust
Babamın bir gün yanlışlıkla tavuğu ezmesine tiksindim.,disgust
Sınavdan yüksek not aldığımda mutlu olurum.,happiness
Bir tartışmada karşımdaki insanın beni suçlayıp bir de üstüne bana savunma fırsatı vermemesi.,anger
Oda arkadaşlarımdan birisinin evden yemek getirmesine mutlu oluyorum.,happiness
Doğum günümde hediye aldığım ve pasta yediğim zamanlar.,happiness
Bunun yanında panzer tümenlerinin müfettişliği gibi bazı görevlerde de bulundu .,neutral
Belediye otobüsündeki ter kokusundan iğreniyorum.,disgust
Beni yanlış anladıkları zaman.,anger
hapşırırken mendil kullanmayanlardan çok tiksinirim,disgust
Emeğimin karşılığını aldığımda mutlu olurum.,happiness
Üst dönemden arkadaş edindiğimde mutlu olurum.,happiness
Asansörde kapalı kalırsam.,fear
Böceklerden aşırı derecede tiksiniyorum.,disgust
Haklıyken haksız duruma düşmek.,anger
Bu olaydan sonra Denizlispor ile anlaşma sağladı .,neutral
uyuduğum zamanlar.,happiness
yapmadığım bir şey ile suçlanmak,anger
Sevdiğim insanlarla birlikteyken ve başarılı olduğum zamanlar.,happiness
El  şakalarından hoşlanmam.,anger
Aynı zamanda okuduğu fakültenin Tiyatro Bölümü’nün oyunculuk sınavına girdi ve kazandı .,neutral
okul turnuvalarında gol atamayınca çok üzüldüm,sadness
iğne korkusu yüzünden dişçiye gidemiyorum,fear
Toplum içerisinde burnunu karıştıran birisini gördüğüm zaman.,disgust
Yemek yerken konuşulmasından tiksinirim.,disgust
Bir yurt dışı seyahatinde kardeşimi bulamadığımda ve askerde yanımdaki kişi intihar etmeye çalıştığında çok korkmuştum.,fear
Bir ünlü gördüğüm zaman.,happiness
Odaların kapılarının açık bırakılması ve bekletilmek.,anger
Pis yerlerden tiksinirim.,disgust
Aynı sakızı çiğneyen insanları gördüğüm zaman.,disgust
yalan... en yakınlarımdan arkadaşlarımdan...,anger
İlin kuzeyinde ve doğusunda Pisa ili ve güneyinde Grosseto ili vardır .,neutral
Üçüncü evrede ise kültürün kuzeye doğru yayıldığı anlaşılmaktadır .,neutral
Tatilde bindiğim bir otobüste cüzdanımı unutmuştum. Kendime çok kızmıştım.,anger
Temiz olmayan bir ortamda yemek yerken.,disgust
İlçenin batı ve kuzeybatı sınırlarını İran oluşturur .,neutral
Bir şeyde başarısız olursam.,sadness
benim için önemli olan bir şeyi başkasına söylenmesi beni öfkelendiriyor,anger
Kötü kokulardan.,disgust
insanların bana toplum içinde bağırması,anger
Korku filmi izlemekten korkarım.,fear
kız arkadaşımdan ayrıldıktan sonra üzüntülü olurum.,sadness
Bana değerli olduğumu hissettiren bir hediye aldığım zaman.,happiness
Savaş sırasında kurumun faaliyetleri durmadı ve sınırlı kapasitede çalışmalarına devam etti .,neutral
Karanlıkta yalnız kalmaktan korkarım.,fear
İstemediğim kişileri gördüğümde.,anger
İngilizce yazılısından 58 almıştım daha sonra çok çalışıp 95 alınca çok mutlu oldum,happiness
yere atılan çöplerden çöp atanlardan tiksiniyorum.,disgust
Alış veriş yaptığım zaman.,happiness
En çok düşman öldürmüş oyuncu oyunu kazanır .,neutral
Eve gittiğimde evde yemek olmamasına öfkelenirim.,anger
2014 yılında istediğim liseyi kazanınca çok mutlu oldum.,happiness
Küçükken kuzenim hastalanıp kusmuştu.,disgust
kızım doğduğunda çok mutlu oldum,happiness
En yakın arkadaşımla aynı sınıfa düştüğümüzü öğrendiğimde.,happiness
Daha sonra kendisi de bir fani olan Yavuz ile evlenir .,neutral
"Filmin başrol oyuncularından olan Hagen isimli köpek de ""Palm Dog"" ödülünün sahibi oldu .",neutral
Başarısız insanlar.,sadness
Sevdiğim insanlarla aramın bozulması.,sadness
Savunma mekanizması olarak zehir püskürtme yeteneğini geliştirmiş olan bir kobra grubuna dahildir .,neutral
Annemin öfkelenerek bağırmasından.,fear
Birisi önümde kusarsa.,disgust
Okuldaki erkekler tuvaletinin pis kokusu.,disgust
Eşyalarımın izinsiz alınması.,anger
Kayalık arazide bir tepe üzerinde inşa edilmiş olan kale koordinatlarındadır .,neutral
Arkadaşım ödünç aldığı kitabımı yırttığı zaman sinirlendim.,anger
Fransa Kültür Bakanlığınca önemli bahçeler listesine alınmıştır .,neutral
Karanlıktan korkarım.,fear
Arkadaşlarımla küs olduğumda ve öğretmenimin bana ters davranışından üzülürüm.,sadness
Oradan da her derde deva sarımsak bitmiş .,neutral
mutlu olmaya çabaladığım zamanlar mutlu olurum.,happiness
Kuzenim doğduğunda.,happiness
Sağlıklı olduğum zaman.,happiness
Bozulmuş yemek yemek.,disgust
Kardeşimin vefatı.,sadness
Yüksekten bakınca.,fear
Sevdiklerimin yanımda olmaması.,sadness
Şelalenin su akış hızı yağış miktarına bağlı olarak değişir .,neutral
Benim adıma karar alınması.,anger
üzülmekle beraber çok sevdiğim birinin ölecek olması beni çok korkutuyor.,fear
Yere tükürülmesinden tiksinirim.,disgust
Ancak yaşanan iklim değişikliği bu bölgede de etkilerini göstermektedir .,neutral
grupça yediğimiz maklubeye arkadaşım elini attığı zaman çok tiksindim,disgust
doğum günümde istediğim şeyler alındığında.,happiness
Bir uyarının sürekli tekrarlanması.,anger
Hayvan öldüğünde bunlardan birisi tekrar dünyaya gelir ve diğeri doğaya yerleşir .,neutral
Okul olmadığı zamanlar.,happiness
arkadaşım çikolata alınca mutlu oldum.,happiness
Kusmuk görmek.,disgust
Sevdiğim insanları gördüğüm zaman mutlu olurum.,happiness
kardeşimin doğumu,happiness
Sınıfta bitli biri yanıma oturmuştu.,disgust
Sevdiklerimi kaybetmekten korkarım.,fear
performans ödevi grubumuzda grup arkadaşlarımız görevlerini yapmayınca çok öfkelendim.,anger
Aniden önüme birinin çıkması.,fear
Rahat ve huzurlu olduğum her an.,happiness
Matematikten yüksek not aldığımda.,happiness
Sakatlığının tam anlamıyla geçmemesi nedeniyle takımının lig ve Avrupa kupalarındaki karşılaşmalarında forma giyemedi .,neutral
Yerel tarih ve etimoloji üzerine çalışmalar yaptı .,neutral
Kendini renksiz ve dışlanmış hisseden Tsukuru’nın arkadaşları günün birinde gerçekten de onunla görüşmeyi keserler .,neutral
sınavda kötü not almak beni üzüyor,sadness
Sınavdan 100 aldığımda.,happiness
Matematik sorusu çözmekten tiksinirim.,disgust
açık yaradan tiksinirim.,disgust
arkadaşımın durduk yere beni öpmesinden iğrendim.,disgust
Pınar Karşıyaka'nın şampiyon olması.,happiness
Okul tuvaletlerinin kokusu.,disgust
Burada üç sezon boyunca alt yaş takımlarında futbol oynadı .,neutral
Bir yakınım hayatını kaybettiği zaman üzülmüştüm.,sadness
Hiç beklemediğim birinin beni mutlu etmesine.,happiness
Eşitsizliklerden.,anger
İnsanların savaşlarda öldürülmesi.,sadness
Aralık ayında bir böbrek hastalığına muzdarip oldu ve daha sonra Panzer Ordusu Müfettişi yapıldı .,neutral
Babam bana bisiklet aldığında neredeyse mutluluktan uçacaktım.,happiness
Oğlumun başarıları benim mutluluğumdur.,happiness
Yükseklik.,fear
Ne zaman arı görsem korkuyorum.,fear
iftiraya uğramak en büyük çekincemdir,fear
insanların birbirine saygısızlık yaptığını görünce çok sinirleniyorum. sevmeyebilirler ama onların siyasi görüşüne saygılı olmamalarına nefret ediyorum ya da ülkemize gelen Suriyeli insanlardan nefret edenlerden ve onlara üzülmeyen insanları görünce çok sinirleniyorum.,anger
birinin beni geçmesinden korkarım.,fear
Bir insanda bilinç hali için iki önemli nörolojik bileşenin çalışması gerekir .,neutral
Yerlere tükürülmesinden tiksiniyorum.,disgust
Romalılar savaşı kaybetti ancak iki taraf da çok ağır kayıplar verdi .,neutral
Kör olmadığı halde göremeyen insanlardan tiksiniyorum.,disgust
Metroda bir adam ters ters baktı ve sonra yanıma geldi oturduğu an.,fear
"ağlamak yok diyorum kendime, ama bu küslük beni bitirdi.",sadness
Yolda havlayan köpeklerden.,fear
Odamdaki böcek zıplamaya başladığında kaskatı kesildim.,fear
"yangınlara, orman veya ev iş yeri afetleri",sadness
Köpeğim öldüğü zaman.,sadness
Bulunduğum ortamdaki ter kokusundan tiksinirim.,disgust
evde yalnızken garip sesler duyduğumda ürperirim,fear
Yemeğimden kıl ya da çöp çıktığında.,disgust
Kalanlar ise silahla nöbet tutarak çatışmaların bitmesini bekler .,neutral
Ispanak yediğimde ve haksızlığa uğradığımda.,anger
Dişçiye gitmekten çok korkuyordum.,fear
Sıra arkadaşımın beni ders esnasında rahatsız etmesine öfkelenirim.,anger
İnsanların bana acımasına öfkelenirim.,anger
uzun zaman önce gasp edildiğimde nefret hissetmiştim.,anger
Kişisel temizliğine dikkat etmeyen insanların ter kokusundan ağız kokusundan tiksiniyorum,disgust
dişçiye ilk gittiğimde adam yanlış dişimi çektiği için ödüm patladı ve canım acıdı,fear
Ağabeyimle ortak olan bilgisayarımızı  istediğim zaman bana kullandırtmaması öfkelendiriyor.,anger
annemin rahatsızlığı beni çok üzdü,sadness
Sosyalist dönemde şehirde gıda ve alkollü içki üretimine başlanmıştır .,neutral
Kazanan halk oyuyla ve on uluslararası jüri grubu oylarıyla belirlenecektir .,neutral
Geçit törenine katılan askerlerin birçoğu muharebede ölmüştür .,neutral
Örümcek.,fear
Yalan söylendiğinde ve kandırıldığımda öfkelenirim.,anger
Poker oynarken son elde paramı kaybetmekten korkarım.,fear
Yalan söylendiği zaman.,anger
Civcivim ve köpeğim öldüğünde üzülmüştüm.,sadness
akşam okuldan eve dönerken önüme üç köpek çıktığında çok korkmuştum.,fear
Gözümün içine baka baka yalan söyleyen birisi olduğu zaman iğreniyorum,disgust
"""Uludağ'a"" kayak yapmaya gittiğimiz zaman.",happiness
Tükürmek.,disgust
dedemin alkolikliğinden bıktım,anger
Ailem hediye alınca.,happiness
anne ve babamı kaybedince çok üzüldüm.,sadness
Varacağım yere bir an önce gitmek için hız yaptığımda polise yakalanacağım diye korkarım.,fear
Dördüncü Zamanda tektonik çöküntü sonucunda üst mantonun çökmesi ile ortaya çıkmıştır .,neutral
Heyecanlandığım zaman çok mutlu olurum. Birde arkamdaki arkadaşım saçlarımla oynadığı zaman mutlu olmuştum.,happiness
Eski okulumda çok mutluydum.,happiness
Arkadaşlarım benden habersiz buluştuğu zaman.,sadness
Okul ikincisi olduğumu öğrenmek.,happiness
Sürprizler mutlu ediyor.,happiness
Sınavdan yüksek not aldığım zaman.,happiness
Sevdiklerimi kaybetmekten.,fear
sınavlardan düşük aldığımda cidden üzülüyorum,sadness
Gemiler kariyerleri boyunca sık sık birlikte hizmet ettiler .,neutral
Hoşlandığım kişinin de benden hoşlanması.,happiness
Tuttuğum takımın yenildiği maç sonrası beni tahrik edenlere öfkelendim.,anger
İstediğim hediye alınmayınca.,sadness
Irkçı ve ayrımcı insanlardan.,disgust
Dışarıdan cama sıçrayan taşın sesi beni epeyce ürkütmüştü..,fear
Gül ve annesi zengin yaşamları olan bir ailedir .,neutral
Çok sevdiğim edebiyat dergisini aldığımda.,happiness
Yemek yerken kedi masaya çıkmıştı. Oldukça korkmuştum.,fear
Fiziksel şakalara kızarım.,anger
Toplu kullanılan yerlerin pis bırakılmasından tiksinirim.,disgust
İnsanların sorumluluklarını yerine getirmemesi.,anger
Bu şekilde resmi olarak kocasından ayrılmış oldu .,neutral
Kötü geçen bir sınavın ardından sonucu beklerken.,fear
Yavru bir köpek bulmuştum.,happiness
İnsanların kendilerini olduğundan büyük göstermesinden tiksinirim.,disgust
David başlangıcını Cliff’in Listesi’ne bir mesaj yazarak yaptı .,neutral
Hocam proje yapmayı teklif ettiğinde çok mutlu oldum.,happiness
kızım doğduğunda sevinmiştim.,happiness
Sınavlardan korkarım.,fear
Lahana yemeğinden.,disgust
"İnsanları şaşırtmayı ,onlara sürpriz yapmayı severim. bende bana sürpriz doğum günü partisi yapılsa çok heyecanlanırım.",happiness
Sınavdan düşük not aldığım zaman tiksinirim.,disgust
üstün zeka sınavını kazandığımda çok mutlu hissetmiştim.,happiness
Hijyenik kuralları uygulamayan ya da üstü başı ve yaşadığı yer dağınık ve pis olan insandan tiksinirim,disgust
Birisinin yanımda kusması.,disgust
İnsanların yere tükürmesi.,disgust
Birisinin bana küfür etmesi.,anger
Sınavdan 40 almak.,sadness
Bu devrelerin elektronikte birçok kullanım alanı vardır .,neutral
Dayım vefat ettiğinde çok üzüldüm.,sadness
Mutluluk benim için uzun süren bir duygu. hiç olmadı şu ara sadece sayısından haberim olmayacak kadar çok param olsa mutlu olurdum.,happiness
Bu nedenle erkeklerin boynuz dönüşümleri eşzamanlı değildir ve yıl boyunca doğurgan dişilere rastlanır .,neutral
Annemin psikolojik rahatsızlığı nedeniyle bayılmasından korkuyorum.,fear
kuzenimin üniversite mezuniyet töreninde kendimi üniversite de olduğumu düşünerek mutlu oldum.,happiness
Danışma görevini yerine getiren Polonya Dil Konseyi tarafından düzenlenir .,neutral
Yazın Ankara'ya kuzenlerimin yanına gittiğimde çok mutlu oldum.,happiness
Erzurumspor ve Büyükşehir Belediye Erzurumspor takımlarının iç saha maçlarına ev sahipliği yapmaktadır .,neutral
Ailemle birlikte vakit geçirmek.,happiness
"""Allah'tan"" korkarım.",fear
Birisinin kustuğunu gördüğüm zaman.,disgust
Taraftarı olduğum takımın başarı elde etmesi.,happiness
Rusya Liberal Demokrat Partisi adı partinin tarihi adı haline geldi .,neutral
Resmi sitede yer almayan ülke bağlantıları bu listede kabul edilmemiştir .,neutral
sevdiğim insanların ölümü,sadness
Kitaba bazı tarihi belgeler de dahil edilmiştir .,neutral
Dedem öldüğünde.,sadness
Ailem ve sevdiğim arkadaşlarımla birlikteyken.,happiness
Dedeye sahip olmamak üzücü.,sadness
Yemekte birinin hapşırması ve sümüğünü yakasına sürmesinden tiksinirim.,disgust
Arkadaşlarımla gezmeye gitmeyi planladığımız zaman arkadaşlarım bazı sebeplerden iptal etmişlerdir.O gün ben evde kaldım.Ertesi gün sosyal medyada önceki gün arkadaşlarımın birlikte Konak'ta şarkı söyledikleri videoyu gördüğüm zaman çok öfkelendim.,anger
Babamla annemin tartıştıkları zamanlar.,sadness
Gerçekten hak ettiğim puanı alamadığım zaman.,sadness
Uzun süredir görmediğim bir arkadaşımı görmek.,happiness
Kardeşim durduk yere bağırıp ağlamaya başladığı zaman.,anger
Bir arkadaşımın yanımda kusması.,disgust
Sınavdan kötü not almak.,sadness
Köy nüfusunun yaklaşık olarak yarısı şehirde yaşamaktadır ve yaz dönemlerinde mahallede bulunmaktadır .,neutral
Sanatçı Ankara’da bulunan heykel atölyesinde çalışmalarını sürdürmektedir .,neutral
insanların çıkarcı olmalarından tiksiniyorum,disgust
Evde yalnızken elektriklerin kesilmesi.,fear
İnsanların insanlıklarını unutmaları beni çok üzüyor.,sadness
katıldığım bir spor turnuvasında finalde haksızlıkla yenilince çok öfkelendim.,anger
Çok başarısız olmak.,sadness
Sakatlanmaktan korkarım.,fear
birinin yemek yerken çıkardığı seslerden ve mutfaktaki sarı bezden tiksiniyorum.,disgust
"99 ""Marmara"" depremi.",fear
Ağır Ceza Mahkemesi tarafından karara bağlanan Ergenekon davasında ağırlaştırılmış müebbet hapis cezasına çarptırıldı .,neutral
Fizik öğretmenimden nefret eden kişilerden tiksiniyorum.,disgust
O zaman profesyonel veya amatör olarak hizmet veriyordu .,neutral
Çok kötü not almak.,sadness
Haksız yere suçlandığım için.,anger
Gittiğim köy düğününde havaya ateş edilmesi korkuttu.,fear
Fizik öğretmenimin adımı unutmasına üzüldüm.,sadness
Kitap okumak beni mutlu eder.,happiness
"Kötü geçen sınav sonrası , kendimi dışlanmış hissetmek ve sevdiklerime zarar gelmesi üzer.",sadness
Kocamın beni bırakmasından korkuyorum,fear
İstediğim şeylerin olması.,happiness
Fizikten 70 beklerken 30 almam.,sadness
Takımın kazandığı zaman.,happiness
"Daha sonra ""kumaş ve diğer sektörlerde çalışan genç erkeklerin ruhani gelişimi"" isimli kulübü kurdu .",neutral
Böcek ya da kıl.,disgust
Yatağımda hamam böceği gördüğüm zaman.,disgust
Temiz kaşıkların yanındaki bulaşıklardan tiksinirim.,disgust
Yemek yerken miğde bulandırıcı kelimeler kullanılmasını sevmiyorum,disgust
Kurallara uymayan insanlara.,anger
Yalan söylenmesi.,anger
oğlumu kucağıma aldığım zaman en mutlu olduğum andır.,happiness
En yakın arkadaşımın bana küstüğü an.,sadness
Köydeki evlerin bazılarını yakar ve Yahudi halka ait olan mallara zarar verirler .,neutral
bir başkasının bardağından su içmekten tiksinirim.,disgust
"En yakın arkadaşım ""istanbul'a"" gittiği zaman.",sadness
Planladığım gibi giden işler.,happiness
teog'dan üç yanlış çıkarmam beni mutlu etmişti,happiness
Ödünç aldığı kalemi ağzına sokan insanlardan çok tiksiniyorum. Kalemi geri alınca doğrudan çöpe atıyorum.,disgust
ilk bilgisayarımı aldığımda çok mutlu oldum.,happiness
kızım koltuktan düşünce ona bir şey olacak diye ödüm patladı,fear
Yemekten saç çıkması.,disgust
köpek beni kovaladığında çok korktum.,fear
beni aşağılayacak laflar,anger
arkadaşımla aramızın bozulması,sadness
2013 yılında çok istediğim gitarıma kavuştuğum için çok mutlu oldum.,happiness
Şiddetin her türlüsünden tiksinirim.,disgust
Sevgilim beni terk edince çok üzüldüm,sadness
"Kişinin üniversite okumuş yani belirli bir bilgi ve gelişmişlik seviyesine ulaşmış olup da saygıyı, selam sabahı öğrenememiş olması durumlarına öfkeleniyorum.",anger
Torpilli biri önüme geçtiğinde.,anger
Bir köpeği tam sevecek iken birden havlaması.,fear
Kusmuk görmek.,disgust
Çalışma odamın dağıtılmasından hoşlanmam,anger
Enjeksiyon yaptığım hastanın pis kokusundan tiksiniyorum.,disgust
Kulağını karıştıran insanlardan.,disgust
Güvendiğim insanın değiştiğini görmek.,sadness
Nükleer enerjinin gelişimi ile ilgili birçok kitap yazdı .,neutral
rezil olacak mıyım kaygısı beni ürkütüyor.,fear
İnsanların yerlere tükürmesi ya da erkeklerin saygısız davranış ve sözleri bir bayan olarak hoşlanmıyorum.,disgust
komşumuza hırsız girdi ve ilk defa yalnız kaldığımda korktum,fear
yandaş medyadan tiksiniyorum.,disgust
Birisi üstüme öksürdüğü zaman tiksinirim.,disgust
Sevdiklerimin başına kötü bir şeyler gelmesinden korkuyorum.,fear
Elbisem pislenince tiksinirim.,disgust
Birisini burnunu karıştırırken gördüğüm zaman.,disgust
yüzüme güldüğü halde benden hiç hoşlanmadığını bildiğim insanlarla görüşmek zorunda kalmak.,anger
Arkadaşım haksızlığa uğradığında çok öfkeleniyorum.,anger
karanlıktan ürperirim,fear
Bugün süvarilerin yerini tankların kullanıldığı zırhlı birlikler almıştır .,neutral
İnsanlar rezil olduğunda.,sadness
arkadaşım yemekhanede elini çorbaya sokunca çok iğrendim.,disgust
Liseye başladığım an.,happiness
Kedilerden korkarım.,fear
Hamam böceğinden.,disgust
Kardeşimin sulu hareketlerine.,anger
Dedem öldüğü zaman.,sadness
Gereksiz takılmalara sinirlenirim.,anger
rakip takımın tehlikeli bir atak yapması beni korkutur.,fear
İki kişiyi ilgilendiren bir konuda sadece benim çaba sarf etmiş olmam.,anger
Konuştuğum kişinin benimle göz teması kurmamasına öfkelenirim.,anger
Derste yemek yerken yakalandığımda boğazımda kalan yemek yüzünden boğuluyorum sandım.,fear
Karşımdakinin yalan söylemesi.,anger
İnsanlara şiddet uygulayanlardan tiksinirim.,disgust
İptal etmek zorunda kaldığım bir programı engeller kalktıktan sonra hayata geçirdiğimde çok mutlu oldum.,happiness
Arkadaşımın sınıftayken tuvaletini yapması.,disgust
hiç keşkelerimin olmamasından dolayı mutluyum.,happiness
annemin rahatsızlandığı zamanlar en korktuğum zamandır. İçime bir sıkıntı düşüverir.,fear
Yaz tatili başlarken.,happiness
orta yaş üzeri bir erkeğin sokakta yürürken veya otobüste oğlu kızı veya torunu yaşındaki çocuğa şehvet dolu bakışı beni çok tiksindirir.,disgust
bakımsız tırnaklardan tiksiniyorum.,disgust
sevgilimden ayrılmaktan çok hüzün duyarım,sadness
"internetten kitap okuyorum, her yeni bölüm eklendiğinde mutlu oluyorum",happiness
Saygısızlığın ve adaletsizliğin olduğu her durum beni tiksindirir.,disgust
izlediğim romantik filmde ana karakter ölünce üzülmüştüm,sadness
Bir kere yemeğimden kıl çıkmıştı.,disgust
Teyzemin öldüğü an.,sadness
Haksızlığa uğradığım zaman.,anger
Konuşurken tükürük saçan insanlardan.,disgust
Böylelikle turu kazanan ilk Kolombiyalı bisikletçi oldu .,neutral
Çikolatam yendiği zaman.,anger
Emrah' ın (yeğenimin) güldüğünü ilk gördüğümde çok mutlu oldum.,happiness
Benimle ilgili dalga geçildiğinde.,anger
Halka açık alanlara büyük abdestini bırakan insanlar.,disgust
Bir kez kaybolmuştum. O zaman çok korktum.,fear
Çocuğum olduğu zaman çok mutlu oldum ki neredeyse bulutlara varacaktım.,happiness
kampüste beni köpekler kovalamıştı .,fear
Canlı bir varlığın acı çekmesi.,sadness
Arkadaşımın beni korkutması.,fear
Albüm hem tamamında hem de parça parça kendi içinde bir bütünlük göstermektedir .,neutral
Galilei uyduları büyük kütleleri ve kuvvetli yerçekimi nedeniyle tam bir küreye yakın biçimler almıştır .,neutral
Korku filmi izlerken korkarım.,fear
Güvendiğim bir insandan beklemediğim bir hareket görünce üzüldüm.,sadness
Yıllar geçtikçe insanlar para vermek için kendi yöntemlerini icat ettiler .,neutral
Beşiktaş maç kazandığında.,happiness
Yakın arkadaşımın beni satması.,sadness
sevdiğim bir gazetecinin ölümünde gerçekten üzüldüm,sadness
Genelde mutluyum.,happiness
Balıklarım öldüğünde ve düşük not aldığımda.,sadness
genelde kötü koku aldığım her an tiksinirim,disgust
Köpeklerin kovalamasından korktum.,fear
su içerken arkadaşımın şişemi sıkmasına öfkelenirim,anger
Kokulara karşı aşırı derecede hassasım ve bazı kokular tiksinme duygusu uyandırır.,disgust
Matematik sınavından düşük not aldığım gün.,sadness
Babam yaşındaki adamların laf atması.,disgust
Sokakta yürürken yolda ölü fare görmek.,disgust
Yeni alınan hayvanımın ölmesinden korkuyorum.,fear
Bana hediye alındığında.,happiness
birisi üzerime bir şey dökerse öfkelenirim.,anger
En iyi sekiz atlayışı yapan sporcular dışındakiler elenir .,neutral
Oyuncu yeşil bir çöp adamı kontrol eder .,neutral
